/File/Main/FileName;/Exif/Image/ImageWidth;/Exif/Image/ImageLength;/Exif/Image/Make;/Exif/Image/Model;/Exif/Image/Orientation;/Exif/Image/XResolution;/Exif/Image/YResolution;/Exif/Image/ResolutionUnit;/Exif/Image/Software;/Exif/Image/DateTime;/Exif/Image/YCbCrPositioning;/Exif/Photo/ExposureTime;/Exif/Photo/FNumber;/Exif/Photo/ExposureProgram;/Exif/Photo/ISOSpeedRatings;/Exif/Photo/ExifVersion;/Exif/Photo/DateTimeOriginal;/Exif/Photo/DateTimeDigitized;/Exif/Photo/OffsetTime;/Exif/Photo/OffsetTimeOriginal;/Exif/Photo/ShutterSpeed;/Exif/Photo/Aperture;/Exif/Photo/Brightness;/Exif/Photo/ExposureBias;/Exif/Photo/MaxAperture;/Exif/Photo/MeteringMode;/Exif/Photo/Flash;/Exif/Photo/FocalLength;/Exif/Photo/ColorSpace;/Exif/Photo/PixelXDimension;/Exif/Photo/PixelYDimension;/Exif/Photo/ExposureMode;/Exif/Photo/WhiteBalance;/Exif/Photo/DigitalZoomRatio;/Exif/Photo/FocalLengthIn35mmFilm;/Exif/Photo/SceneCaptureType;/Exif/Photo/ImageUniqueID;/Exif/Thumbnail/ImageWidth;/Exif/Thumbnail/ImageLength;/Exif/Thumbnail/Compression;/Exif/Thumbnail/XResolution;/Exif/Thumbnail/YResolution;/Exif/Thumbnail/ResolutionUnit
576;8000;6000;286;250;1;72;72;2;904;1690458047;1;0.000422475708;2;2;50;0220;1690458047;1690458047;-10800;-10800;1.0;2;0.0;0.0;2;2;0;4.58;1;8000;6000;0;0;1;25;0;601;512;384;6;72;72;2
670;8000;6000;286;250;1;72;72;2;904;1690458014;1;0.00051203277;2;2;50;0220;1690458014;1690458014;-10800;-10800;1.0;2;0.0;0.0;2;2;0;4.58;1;8000;6000;0;0;1;25;0;601;512;384;6;72;72;2
705;8000;6000;286;250;1;72;72;2;904;1690456777;1;0.000422475708;2;2;50;0220;1690456777;1690456777;-10800;-10800;1.0;2;0.0;0.0;2;2;0;4.58;1;8000;6000;0;0;1;25;0;601;512;384;6;72;72;2
21;8000;6000;286;250;1;72;72;2;893;1690301757;1;0.000489715965;2;2;50;0220;1690301757;1690301757;-10800;-10800;1.0;2;0.0;0.0;2;2;0;4.58;1;8000;6000;0;0;1;25;0;601;512;384;6;72;72;2
