Filename;image_width;image_height;make;model;orientation;x_resolution;y_resolution;resolution_unit;software;datetime;y_and_c_positioning;_exif_ifd_pointer;compression;jpeg_interchange_format;jpeg_interchange_format_length;exposure_time;f_number;exposure_program;photographic_sensitivity;exif_version;datetime_original;datetime_digitized;offset_time;offset_time_original;shutter_speed_value;aperture_value;brightness_value;exposure_bias_value;max_aperture_value;metering_mode;flash;focal_length;color_space;pixel_x_dimension;pixel_y_dimension;exposure_mode;white_balance;digital_zoom_ratio;focal_length_in_35mm_film;scene_capture_type;image_unique_id;Observations
og_araruama.jpg;8000;6000;samsung;SM-A805F;1;72.0;72.0;2;A805FXXU7DWF5;2023:07:27 08:40:47;1;226;6;802;40839;0.0004224757076468103;2.0;2;50;None;2023:07:27 08:40:47;2023:07:27 08:40:47;-03:00;-03:00;0.0004224757076468103;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
og_araruama1.jpg;8000;6000;samsung;SM-A805F;1;72.0;72.0;2;A805FXXU7DWF5;2023:07:27 08:40:14;1;226;6;802;57813;0.0005120327700972862;2.0;2;50;None;2023:07:27 08:40:14;2023:07:27 08:40:14;-03:00;-03:00;0.0005120327700972862;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
og_araruama2.jpg;8000;6000;samsung;SM-A805F;1;72.0;72.0;2;A805FXXU7DWF5;2023:07:27 08:19:37;1;226;6;802;54537;0.0004224757076468103;2.0;2;50;None;2023:07:27 08:19:37;2023:07:27 08:19:37;-03:00;-03:00;0.0004224757076468103;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
og_araruama3.jpg;8000;6000;samsung;SM-A805F;1;72.0;72.0;2;A805FXXS7DWE4;2023:07:25 13:15:57;1;226;6;802;59958;0.0004897159647404506;2.0;2;50;None;2023:07:25 13:15:57;2023:07:25 13:15:57;-03:00;-03:00;0.0004897159647404506;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
og_araruama4.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2023:12:29 14:33:18;1;226;6;802;53791;0.0009250693802035153;2.0;2;50;None;2023:12:29 14:33:18;2023:12:29 14:33:18;-03:00;-03:00;0.0009250693802035153;2.0;0.0;0.0;2.0;3;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
og_araruama5.jpg;8000;6000;samsung;SM-A805F;1;72.0;72.0;2;A805FXXU7DWF5;2023:12:29 14:33:39;1;226;6;802;43213;0.00026322716504343247;2.0;2;50;None;2023:12:29 14:33:39;2023:12:29 14:33:39;-03:00;-03:00;0.00026322716504343247;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
og_araruama6.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2024:01:01 14:56:21;1;226;6;802;51077;0.016666666666666666;2.0;2;64;None;2024:01:01 14:56:21;2024:01:01 14:56:21;-03:00;-03:00;0.016666666666666666;2.0;0.0;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;1;8000;6000;0;0;1.0;25;0;A48QSLA01PM;sem obs
og_beto_e_piu.jpg;8000;6000;samsung;SM-A805F;6;72.0;72.0;2;A805FXXU7DWF5;2023:08:06 20:24:52;1;238;798;6;1026;61106;0.041666666666666664;2.0;2;400;None;2023:08:06 20:24:52;2023:08:06 20:24:52;None;4.584;2.0;-1.35;0.0;2.0;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);4.58;990902;990902;990902;None;1;8000;6000;None;1;1;0;0;25;0;A48QSLA01PM A48QSLA01PM;0;0;(0, 0, 0);;sem obs
og_maya.jpg;8160;6120;samsung;SM-S901E;6;72.0;72.0;2;S901EXXS7CWK2;2023:12:22 21:33:39;1;226;6;868;45660;0.041666666666666664;1.8;2;800;None;2023:12:22 21:33:39;2023:12:22 21:33:39;-03:00;-03:00;None;4.59;1.69;-4.33;0.0;1.8;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);5.4;308;308;308;1;8160;6120;0;0;1.35;23;0;O10XSOD00CM;sem obs
og_maya1.jpg;8160;6120;samsung;SM-S901E;1;72.0;72.0;2;S901EXXS7CWK2;2023:12:23 00:24:27;1;226;6;818;44393;0.03333333333333333;1.8;2;640;None;2023:12:23 00:24:27;2023:12:23 00:24:27;-03:00;-03:00;0.03333333333333333;1.69;0.0;1.69;2;Flash(flash_fired=False, flash_return=FlashReturn.NO_STROBE_RETURN_DETECTION_FUNCTION, flash_mode=FlashMode.UNKNOWN, flash_function_not_present=False, red_eye_reduction_supported=False, reserved=0);5.4;928;928;928;1;8160;6120;0;0;1.65;23;0;O10XSOD00CM;sem obs
